"year","var","val","n_sim","started"
1991,"project",0,1,FALSE
1991,"counterfactual",0,1,FALSE
1991,"additionality",0,1,FALSE
1992,"project",0,1,FALSE
1992,"counterfactual",0,1,FALSE
1992,"additionality",0,1,FALSE
1993,"project",0,1,FALSE
1993,"counterfactual",0,1,FALSE
1993,"additionality",0,1,FALSE
1994,"project",-3867.14522528648,1,FALSE
1994,"counterfactual",-46405.7427030802,1,FALSE
1994,"additionality",42538.5974777937,1,FALSE
1995,"project",-13535.0082884133,1,FALSE
1995,"counterfactual",-25136.4439641535,1,FALSE
1995,"additionality",11601.4356757402,1,FALSE
1996,"project",0,1,FALSE
1996,"counterfactual",0,1,FALSE
1996,"additionality",0,1,FALSE
1997,"project",0,1,FALSE
1997,"counterfactual",0,1,FALSE
1997,"additionality",0,1,FALSE
1998,"project",0,1,FALSE
1998,"counterfactual",0,1,FALSE
1998,"additionality",0,1,FALSE
1999,"project",-19335.7261262536,1,FALSE
1999,"counterfactual",-129549.365046144,1,FALSE
1999,"additionality",110213.63891989,1,FALSE
2000,"project",-230095.140902877,1,FALSE
2000,"counterfactual",-271276.569527984,1,FALSE
2000,"additionality",41181.4286251068,1,FALSE
2001,"project",-146170.753466874,1,FALSE
2001,"counterfactual",-285183.620243132,1,FALSE
2001,"additionality",139012.866776258,1,FALSE
2002,"project",-381657.889541596,1,FALSE
2002,"counterfactual",-302009.369996995,1,FALSE
2002,"additionality",-79648.5195446014,1,FALSE
2003,"project",-181551.464254081,1,FALSE
2003,"counterfactual",-201259.232807159,1,FALSE
2003,"additionality",19707.7685530782,1,FALSE
2004,"project",-200106.425287455,1,FALSE
2004,"counterfactual",-218084.982560992,1,FALSE
2004,"additionality",17978.5572735369,1,FALSE
2005,"project",-821694.999888837,1,FALSE
2005,"counterfactual",-402403.184862435,1,FALSE
2005,"additionality",-419291.815026402,1,FALSE
2006,"project",-288118.039384276,1,FALSE
2006,"counterfactual",-551571.237880617,1,FALSE
2006,"additionality",263453.198496342,1,FALSE
2007,"project",-276726.205075711,1,FALSE
2007,"counterfactual",-447121.636559367,1,FALSE
2007,"additionality",170395.431483656,1,FALSE
2008,"project",-387767.769396126,1,FALSE
2008,"counterfactual",-383455.221265495,1,FALSE
2008,"additionality",-4312.54813063145,1,FALSE
2009,"project",-927915.732763052,1,FALSE
2009,"counterfactual",-441724.401353419,1,FALSE
2009,"additionality",-486191.331409633,1,FALSE
2010,"project",-1041493.47362685,1,TRUE
2010,"counterfactual",-1098148.72318712,1,TRUE
2010,"additionality",56655.2495602667,1,TRUE
2011,"project",-1316899.19008911,1,TRUE
2011,"counterfactual",-1153693.08550116,1,TRUE
2011,"additionality",-163206.104587942,1,TRUE
2012,"project",-350002.843056768,1,TRUE
2012,"counterfactual",-766208.277950823,1,TRUE
2012,"additionality",416205.434894055,1,TRUE
2013,"project",-3381556.49777919,1,TRUE
2013,"counterfactual",-2093860.0181784,1,TRUE
2013,"additionality",-1287696.47960079,1,TRUE
2014,"project",-1579005.69980097,1,TRUE
2014,"counterfactual",-1098798.48742551,1,TRUE
2014,"additionality",-480207.212375462,1,TRUE
2015,"project",-657917.731575251,1,TRUE
2015,"counterfactual",-1027727.90383458,1,TRUE
2015,"additionality",369810.172259331,1,TRUE
2016,"project",-1286470.3116025,1,TRUE
2016,"counterfactual",-1186893.9420692,1,TRUE
2016,"additionality",-99576.3695333004,1,TRUE
2017,"project",-741548.677097052,1,TRUE
2017,"counterfactual",-927884.292557955,1,TRUE
2017,"additionality",186335.615460902,1,TRUE
2018,"project",-1819366.06766361,1,TRUE
2018,"counterfactual",-1875853.63613012,1,TRUE
2018,"additionality",56487.5684665143,1,TRUE
2019,"project",-799545.375407577,1,TRUE
2019,"counterfactual",-781765.939432889,1,TRUE
2019,"additionality",-17779.4359746873,1,TRUE
2020,"project",-1262554.79560244,1,TRUE
2020,"counterfactual",-797402.201427728,1,TRUE
2020,"additionality",-465152.594174713,1,TRUE
2021,"project",-447179.276935369,1,TRUE
2021,"counterfactual",-547887.493851662,1,TRUE
2021,"additionality",100708.216916293,1,TRUE
1991,"project",0,2,FALSE
1991,"counterfactual",0,2,FALSE
1991,"additionality",0,2,FALSE
1992,"project",0,2,FALSE
1992,"counterfactual",0,2,FALSE
1992,"additionality",0,2,FALSE
1993,"project",0,2,FALSE
1993,"counterfactual",0,2,FALSE
1993,"additionality",0,2,FALSE
1994,"project",-1933.57261267304,2,FALSE
1994,"counterfactual",-52206.4605409503,2,FALSE
1994,"additionality",50272.8879282773,2,FALSE
1995,"project",-17402.1535136402,2,FALSE
1995,"counterfactual",-29003.5891894698,2,FALSE
1995,"additionality",11601.4356758296,2,FALSE
1996,"project",0,2,FALSE
1996,"counterfactual",0,2,FALSE
1996,"additionality",0,2,FALSE
1997,"project",0,2,FALSE
1997,"counterfactual",-3867.14522525668,2,FALSE
1997,"additionality",3867.14522525668,2,FALSE
1998,"project",0,2,FALSE
1998,"counterfactual",-5800.71783784032,2,FALSE
1998,"additionality",5800.71783784032,2,FALSE
1999,"project",-25712.8477240205,2,FALSE
1999,"counterfactual",-148885.091172457,2,FALSE
1999,"additionality",123172.243448436,2,FALSE
2000,"project",-224870.826824844,2,FALSE
2000,"counterfactual",-257741.561239541,2,FALSE
2000,"additionality",32870.7344146967,2,FALSE
2001,"project",-135926.48664394,2,FALSE
2001,"counterfactual",-313034.401912868,2,FALSE
2001,"additionality",177107.915268928,2,FALSE
2002,"project",-455505.691248268,2,FALSE
2002,"counterfactual",-295223.525733113,2,FALSE
2002,"additionality",-160282.165515155,2,FALSE
2003,"project",-189285.754704565,2,FALSE
2003,"counterfactual",-214422.198668778,2,FALSE
2003,"additionality",25136.4439642131,2,FALSE
2004,"project",-195086.472542524,2,FALSE
2004,"counterfactual",-182012.587261945,2,FALSE
2004,"additionality",-13073.8852805793,2,FALSE
2005,"project",-818980.662183285,2,FALSE
2005,"counterfactual",-451717.146535754,2,FALSE
2005,"additionality",-367263.515647531,2,FALSE
2006,"project",-266937.821226388,2,FALSE
2006,"counterfactual",-507843.1526438,2,FALSE
2006,"additionality",240905.331417412,2,FALSE
2007,"project",-306306.198025048,2,FALSE
2007,"counterfactual",-446393.271808267,2,FALSE
2007,"additionality",140087.073783219,2,FALSE
2008,"project",-372084.347093642,2,FALSE
2008,"counterfactual",-389869.023102492,2,FALSE
2008,"additionality",17784.6760088503,2,FALSE
2009,"project",-851123.031846911,2,FALSE
2009,"counterfactual",-392551.920602977,2,FALSE
2009,"additionality",-458571.111243933,2,FALSE
2010,"project",-1023965.55929288,2,TRUE
2010,"counterfactual",-1083759.58932734,2,TRUE
2010,"additionality",59794.0300344527,2,TRUE
2011,"project",-1350786.49113482,2,TRUE
2011,"counterfactual",-1250948.11989245,2,TRUE
2011,"additionality",-99838.3712423742,2,TRUE
2012,"project",-305415.392214298,2,TRUE
2012,"counterfactual",-811089.170707375,2,TRUE
2012,"additionality",505673.778493077,2,TRUE
2013,"project",-3419730.14678457,2,TRUE
2013,"counterfactual",-2043801.97165146,2,TRUE
2013,"additionality",-1375928.17513311,2,TRUE
2014,"project",-1528497.01033458,2,TRUE
2014,"counterfactual",-1122053.75911888,2,TRUE
2014,"additionality",-406443.251215696,2,TRUE
2015,"project",-711266.519567549,2,TRUE
2015,"counterfactual",-1034534.70823506,2,TRUE
2015,"additionality",323268.188667506,2,TRUE
2016,"project",-1240604.29242003,2,TRUE
2016,"counterfactual",-1173049.77176416,2,TRUE
2016,"additionality",-67554.5206558704,2,TRUE
2017,"project",-818105.576475114,2,TRUE
2017,"counterfactual",-974174.754509121,2,TRUE
2017,"additionality",156069.178034008,2,TRUE
2018,"project",-1903620.57725295,2,TRUE
2018,"counterfactual",-1908708.6504423,2,TRUE
2018,"additionality",5088.07318934798,2,TRUE
2019,"project",-838227.307728499,2,TRUE
2019,"counterfactual",-784412.156694084,2,TRUE
2019,"additionality",-53815.1510344148,2,TRUE
2020,"project",-1256811.71814048,2,TRUE
2020,"counterfactual",-796710.516915858,2,TRUE
2020,"additionality",-460101.201224625,2,TRUE
2021,"project",-437102.691206187,2,TRUE
2021,"counterfactual",-527435.640444934,2,TRUE
2021,"additionality",90332.9492387474,2,TRUE
1991,"project",0,3,FALSE
1991,"counterfactual",0,3,FALSE
1991,"additionality",0,3,FALSE
1992,"project",0,3,FALSE
1992,"counterfactual",0,3,FALSE
1992,"additionality",0,3,FALSE
1993,"project",0,3,FALSE
1993,"counterfactual",0,3,FALSE
1993,"additionality",0,3,FALSE
1994,"project",-1933.57261264324,3,FALSE
1994,"counterfactual",-50272.8879283667,3,FALSE
1994,"additionality",48339.3153157234,3,FALSE
1995,"project",-21269.2987388968,3,FALSE
1995,"counterfactual",-19335.726126343,3,FALSE
1995,"additionality",-1933.57261255383,3,FALSE
1996,"project",0,3,FALSE
1996,"counterfactual",0,3,FALSE
1996,"additionality",0,3,FALSE
1997,"project",0,3,FALSE
1997,"counterfactual",-1933.57261261344,3,FALSE
1997,"additionality",1933.57261261344,3,FALSE
1998,"project",0,3,FALSE
1998,"counterfactual",-3867.14522525668,3,FALSE
1998,"additionality",3867.14522525668,3,FALSE
1999,"project",-27646.4203366637,3,FALSE
1999,"counterfactual",-119881.501982987,3,FALSE
1999,"additionality",92235.0816463232,3,FALSE
2000,"project",-226804.399437487,3,FALSE
2000,"counterfactual",-269715.039342105,3,FALSE
2000,"additionality",42910.6399046183,3,FALSE
2001,"project",-157772.189142674,3,FALSE
2001,"counterfactual",-342782.075955987,3,FALSE
2001,"additionality",185009.886813313,3,FALSE
2002,"project",-423043.679499656,3,FALSE
2002,"counterfactual",-289831.530561298,3,FALSE
2002,"additionality",-133212.148938358,3,FALSE
2003,"project",-184637.844386488,3,FALSE
2003,"counterfactual",-184637.844386488,3,FALSE
2003,"additionality",0,3,FALSE
2004,"project",-199325.660194546,3,FALSE
2004,"counterfactual",-249022.144363016,3,FALSE
2004,"additionality",49696.4841684699,3,FALSE
2005,"project",-913893.401295871,3,FALSE
2005,"counterfactual",-479452.647453457,3,FALSE
2005,"additionality",-434440.753842413,3,FALSE
2006,"project",-289103.165810227,3,FALSE
2006,"counterfactual",-541007.328972608,3,FALSE
2006,"additionality",251904.16316238,3,FALSE
2007,"project",-278492.096594542,3,FALSE
2007,"counterfactual",-460656.64484781,3,FALSE
2007,"additionality",182164.548253268,3,FALSE
2008,"project",-406516.611694187,3,FALSE
2008,"counterfactual",-386808.843141049,3,FALSE
2008,"additionality",-19707.7685531378,3,FALSE
2009,"project",-881190.347974986,3,FALSE
2009,"counterfactual",-430390.207420826,3,FALSE
2009,"additionality",-450800.14055416,3,FALSE
2010,"project",-1058638.8654657,3,TRUE
2010,"counterfactual",-1095078.06315735,3,TRUE
2010,"additionality",36439.1976916492,3,TRUE
2011,"project",-1275382.39927644,3,TRUE
2011,"counterfactual",-1203672.53151539,3,TRUE
2011,"additionality",-71709.8677610457,3,TRUE
2012,"project",-330578.036349386,3,TRUE
2012,"counterfactual",-788363.142466247,3,TRUE
2012,"additionality",457785.106116861,3,TRUE
2013,"project",-3511336.42432925,3,TRUE
